Qty,Value,Device,Package,Parts,PartNO,Vendor
3,BEAD,SM-B5,SM-B5,"L1, L2, L5",LCBC-601,TME
1,0R,R-EU_R0805,R0805,R1,,
3,1000p,C-EUC0805,C0805,"CC1, CC2, CC3",GRM2195C2A102JA01D,Arrow
3,100n,C-EUC0805,C0805,"C2, C4, C33",,
3,100n,C-EUC1206,C1206,"C9, C29, C30",,
5,10k,R-EU_R0805,R0805,"R2, R11, R19, R23, R24",,
5,10n,C-EUC0805,C0805,"C7, C24, C25, C32, C34",,
4,10u,C-EUC1206,C1206,"C11, C20, C23, C28",,
1,13p,C-EUC0805,C0805,CM,NMC-L0805NPO130G100TRPF,Arrow
1,15k,R-EU_R0805,R0805,R20,,
1,15nH,R-EU_R0805,R0805,LM3,LQW2BAN15NG00L,Arrow
1,16MHz,CRYSTALS-NOGND-HC49,HC49,X1,HC49US-FF3F16.0000,TME
2,18p,C-EUC0805,C0805,"C1, C3",,
3,1k,R-EU_R0805,R0805,"R4, R5, R15",,
3,1u,C-EUC1206,C1206,"C19, C22, C31",,
1,220nH,R-EU_R0805,R0805,LCHOKE,AISC-0805-R22J-T,Arrow
1,22R,R-EU_R0805,R0805,R8,,
1,22R,R-EU_R1206,R1206,R6,,
1,22k,R-EU_R0805,R0805,R25,,
1,22nH,R-EU_R0805,R0805,LM2,LQW2BAN22NG00L,Arrow
8,22u/TA,C-EUC1206,C1206,"C10, C12, C13, C14, C15, C16, C17, C18",,
1,22u/TA,CPOL-EUSMCC,SMC_C,C8,,
1,27nH,R-EU_R0805,R0805,LM1,LQW2BAN27NG00L,Arrow
1,2A,SMD-FUSE,1206,U$2,C1S 2,Arrow
1,2p2,C-EUC0805,C0805,CR2,CL21C2R2BBANNND,Arrow
2,2u2,C-EUC1206,C1206,"C5, C6",,
1,30nH,R-EU_R0805,R0805,L0,LQW2BAN30NG00L,Arrow
1,3k9,R-EU_R0805,R0805,R16,,
1,3p9,C-EUC0805,C0805,CR1,NMC-L0805NPO3R9B100TRPF,Arrow
2,470R,R-EU_R0805,R0805,"R17, R18",,
1,470n,C-EUC0805,C0805,C26,,
2,47k,R-EU_R0805,R0805,"R9, R12",,
5,4k7,R-EU_R0805,R0805,"R10, R13, R14, R21, R22",,
1,51nH,R-EU_R0805,R0805,LR2,LQW2BAN51NG00L,Arrow
1,56nH,R-EU_R0805,R0805,LR1,LQW2BAN56NG00L,Arrow
1,6n8,C-EUC1206,C1206,C21,,
1,820R,R-EU_R0805,R0805,R7,,
1,8p2,C-EUC0805,C0805,C0,CL21C8R2DBANNNC,Arrow
1,9k1,R-EU_R0805,R0805,R3,,
3,9p1,C-EUC0805,C0805,"CM1, CM2, CM3",NMC-L0805NPO9R1C100TRPF,Arrow
1,ADAM TECH MCSP-Q1-08-A-SG,MICROSD-PUSH-OUT,MICROSD-PUSH-OUT,U4,MCSP-Q1-08-A-SG,TME
1,ADXL345,ADXL345,LGA14,U$1,ADXL345BCCZ-RL,Arrow
1,BATT,PINHD-1X3/90,1X03/90,JP2,640455-3,Arrow
2,BSS138,BSS138,SOT23,"Q1, Q2",,
1,CG2179M2,CG2179M2,SOT363,U2,CG2179M2-C4,Arrow
1,CGRM4007-G,CGRM4007-G,SOD-123_MINI-SMA,D1,MBRA320T3G,Arrow
1,DBG_CONN,PINHD-1X3,1X03,JP7,,
1,FDV304P,FDV304P,SOT23-3,T1,,
1,GPS_CONN,PINHD-1X3,1X03,JP6,,
1,GREEN,LEDCHIPLED_1206,CHIPLED_1206,LED2,,
1,ILSI 32MHz TCXO,ASE,ASE,X3,I538-2P3-32.000 MHZ,Arrow
1,INT_PTT_SW,31-XX,B3F-31XX,S1,B3F-3122,TME
1,KBD_CONN,PINHD-1X3,1X03,JP8,,
1,L272,L272,SO16,U3,L272D,Arrow
1,LD117AS33TR,LD117AS33TR,SOT223,IC2,,
1,LD117AS50TR,LD117AS50TR,SOT223,IC1,,
1,MIC_INT,PINHD-1X2,1X02,JP5,MIKPOJ62,TME
1,OPA340U,OPA340U,SO08,IC3,OPA340UA,TME
2,"PTR1B1,27","PTR1B1,27","B1,27","TP1, TP2",,
1,RED,LEDCHIPLED_1206,CHIPLED_1206,LED1,,
1,SI4463-C2A-GM,SI4463-C2A-GM,QFN50P400X400X90-20N,U5,SI4463-C2A-GM,Arrow
1,SMA,SMA-142-0701-871/876,J502-ND-142-0701-871/876,X2,RF2-145A-T-17-50-G-HDW,TME
1,SPK_INT,PINHD-1X2,1X02,JP4,CMS-15113-076SP,Arrow
1,STM32F777VIT,STM32F777VIT,LQFP100,U1,STM32F777VIT6,Arrow
1,SWD,PINHD-1X5,1X05,JP1,90deg goldpin,
1,TFT_CONN,PINHD-1X16,1X16,JP3,ZL262-16SG,TME
1,TFT_MODULE,,,,BTE-465,GOTRONIK
